titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
Jours sauvages,26/04/2023,183,16,294296
Before Sunset,05/07/2004,219425,484967,56026
"Good Bye, Lenin!",17/09/2003,163695,160177,52715
Mesrine : L'Ennemi public n°1,26/11/2008,740223,373525,51603
American Trip,08/09/2010,18218,11739,135821
Antebellum,16/09/2020,85213,62552,275832
Unstoppable,17/11/2010,349758,146693,129345
Ducobu 3,12/02/2020,399199,385170,270878
"Tel père, tel fils",01/01/2014,104396,91246,220765
Alpha Dog,04/04/2007,129674,67730,58222
The Hole,27/06/2001,100422,211158,35097
Blanche-Neige et le chasseur,20/06/2012,706260,512764,187396
Le Frère du guerrier,20/03/2002,204270,,34001
Albatros,10/11/2021,47815,23305,277955
Anna Karenine,12/12/2012,106900,48578,191856
Joyeux Noël,16/11/2005,606009,398160,56539
Fusion,23/04/2003,105390,12400000,40884
Frère des ours,04/02/2004,706876,594334,51506
Norbit,11/04/2007,135779,80564,60982
Sword Art Online - Progressive - Aria of a Starless Night,12/01/2022,28400,,287946
(S)ex List,05/10/2011,399,95712,178820
"Un peu, beaucoup, aveuglément",13/05/2015,165065,135354,231703
Les Espions d'à côté,31/10/2016,3390107,,227741
Midnight Special,23/03/2016,132693,66870,221391
Morse,11/02/2009,12455,9420,138365
I Feel Pretty,23/04/2018,16030218,8176757,255567
La Couleur de la victoire,03/08/2016,82572,42078,211082
Parents d'élèves,14/10/2020,110248,76637,275121
Crazy kung-fu,15/06/2005,155625,63204,57959
Green Lantern,17/08/2011,423226,179851,132150
Arctic,13/02/2019,31579,12609,255655
Médecin de nuit,23/06/2021,41933,26831,277729
L'Été l’éternité,11/05/2022,991,1249,293774
Les Tuche 3,07/02/2018,2201007,1254001,248049
Paradise Lost,04/12/2006,3582554,1418457,109353
La Légende de Zorro,02/11/2005,1122957,393238,54348
Les Chemins de la dignité,09/05/2001,101151,39509,27434
Carnage,07/12/2011,5443,179370,183445
Only Lovers Left Alive,26/02/2014,102358,61418,193927
"En cloque, mode d'emploi",17/10/2007,117583,63669,111285
17 ans encore,29/04/2009,452343,229464,138209
Le Dernier Loup,04/03/2015,483683,243898,171577
Faster,09/03/2011,31302,7404,146402
Sauvée par Amour,24/01/2022,3710000,1850000,282385
Ça tourne à Saint-Pierre et Miquelon,01/06/2022,2177,474,280126
Princesse Dragon,22/12/2021,40755,20008,254362
Le Siffleur,13/01/2010,200279,132663,129241
Joyeuses funérailles,26/09/2007,41049,43274,128990
La Bonne épouse,18/03/2020,171000,167748,271733
New York Melody,06/08/2014,125665,64721,203103
Minuscule - La vallée des fourmis perdues,05/02/2014,392852,266532,197310
Mon grand-père et moi,14/10/2020,50862,34869,248196
Bon à Tirer (B.A.T.),04/05/2011,186354,95208,177205
22 Jump Street,03/09/2014,274341,112534,204121
Arrête ou je continue,12/03/2014,24431,20073,220855
Nos 18 ans,23/07/2008,161946,96292,130536
Les Seigneurs,26/09/2012,106416,1088676,190768
Le Grand Alibi,07/05/2008,153920,77964,126896
Les Délices de Tokyo,03/02/2016,67743,54429,235589
Retour à Cold Mountain,25/02/2004,303816,196483,35535
"Johnny English, le retour",26/10/2011,184368,126202,180179
Mais vous êtes fous,01/05/2019,55015,25002,262181
Loin de la foule déchaînée,10/06/2015,51025,38345,213276
Dans l'ombre de Mary - La promesse de Walt Disney,12/03/2014,137770,53260,204100
Next,02/05/2007,262793,152669,26561
Deux soeurs pour un roi,09/04/2008,162306,106939,112348
Crazy Joe,17/07/2013,95660,60428,192763
Amour et amnésie,07/07/2004,86698,41000000,49077
Le Barrage,08/03/2023,4214,1478,303482
La Mort dans la peau,15/09/2004,479681,272029,53335
"Le Guerrier silencieux, Valhalla Rising",17/03/2010,19740,12511,131751
La Colline aux Coquelicots,18/01/2012,116084,89452,195834
Monsters,08/12/2010,45565,18569,183325
Des hommes,09/06/2021,75111,36070,272523
Police,09/09/2020,84682,39985,267302
The Danish Girl,27/01/2016,118481,66868,140552
"Charlie, les filles lui disent merci",02/01/2008,69804,54721,112222
Suite Française,08/04/2015,124302,59220,214084
August Rush,26/03/2008,46317,9421369,109845
Le Tailleur de Panama,06/06/2001,140875,93101,26839
"Nos voisins, les hommes",12/07/2006,415679,253449,47019
Hanna,13/07/2011,59174,24276,175478
Red Rocket,09/02/2022,24843,17119,290687
Noémie dit oui,03/05/2023,6039,263,303733
Garçon Chiffon,02/06/2021,10155,3306,277935
"Soyez sympas, rembobinez",12/03/2008,146496,145795,110281
Chroniques sexuelles d'une famille d'aujourd'hui,16/05/2012,6416,3352,193489
Paranoiak,29/08/2007,201177,121919,111640
Scoop,08/11/2006,331714,206183,60736
Max la menace,17/09/2008,220612,100655,114624
7 Psychopathes,06/02/2013,92089,44896,193744
L'Éden,29/03/2023,2876,1205,279381
L'Ombre de Staline,01/07/2020,67452,55652,254025
After Earth,12/06/2013,548418,259661,186905
Ghost Rider,28/02/2007,523901,280014,28933
Mia et le Lion Blanc,02/01/2019,573356,391098,252283
Le Chardonneret,25/09/2019,26000,6254,230149
Radioactive,18/03/2020,36738,25701,254043
Maxi Papa,16/04/2008,65028,22950971,119357
La Croisade,29/12/2021,12567,5469,284466
Mes autres vies de chien,28/08/2019,256,104,264572
Monsieur Je-sais-tout,16/05/2018,193815,87156,257033
Upside Down,08/05/2013,140000,76030,83585
Bienvenue dans la jungle,29/09/2003,18534000,9777000,46372
Les Amours Imaginaires,06/10/2010,60964,29804,179786
Le Piège de Huda,08/02/2023,3389,824,281403
Earwig,25/01/2023,1724,109,287725
Cosmopolis,30/05/2012,134570,101436,143756
Hunger,03/12/2008,40285,24242,115096
From Hell,06/02/2002,281170,186687,28835
Catacombes,27/08/2014,103006,62235,226884
Radiostars,18/04/2012,242243,170240,196255
24H Limit,24/01/2018,95319,30670,244941
Clones,04/11/2009,508980,251300,127136
Game Night,25/04/2018,75209,63709,218449
Insaisissables 2,03/08/2016,910322,450359,223199
Braqueurs d'élite,05/09/2018,34416,12674,228849
Brice 3,26/10/2016,1100295,556744,238953
De Gaulle,11/03/2020,511913,83266,275227
La Troisième guerre,29/09/2021,7504,2790,277803
Funny Games U.S.,30/04/2008,52136,30120,126485
Hors de prix,20/12/2006,527454,313249,108526
L'Equipier,10/11/2004,215977,196984,53527
Auprès de moi toujours,09/03/2011,37774,22770,144222
Quartet,10/04/2013,110743,67557,197486
Mica,29/12/2021,765,263,273225
L'Autre continent,12/06/2019,12476,5034,262184
Temps Mort,10/05/2023,5321,1928,281056
Crazy Heart,10/03/2010,21450,12378,138239
Thor : Le Monde des ténèbres,06/11/2013,1159433,595207,193108
Ah ! si j'étais riche,04/12/2002,343848,224925,42346
Detroit,18/10/2017,106423,93924,244774
Verónica,31/01/2018,73210,41860,244298
Un Heureux Événement,28/09/2011,15450,190939,138273
C'est quoi cette mamie ?!,14/08/2019,425378,318179,267950
Awake,03/12/2007,5856872,3327369,108751
Destination Finale 5,07/09/2011,497796,202141,185311
La Dame de fer,22/02/2012,238257,142817,127404
La Taupe,15/02/2012,277172,175810,169913
Prémonitions,16/09/2015,329959,192238,41696
La Maison au bout de la rue,28/11/2012,338,12287234,182518
Murder Party,16/03/2022,41645,24343,283722
Rock Academy,31/03/2004,116366,20200000,47016
Seize Printemps,23/06/2021,9101,3560,283733
Invasion,12/09/2018,12125,6050,262198
R.I.P.D. Brigade Fantôme,07/08/2013,138878,78993,184468
Le Concert,11/11/2009,390181,334420,110666
Ouija,06/05/2015,149255,60871,188034
Street dancers,09/06/2004,132502,104454,54024
30 jours de nuit,16/01/2008,130527,65472,115070
Les Brasiers de la Colère,22/01/2014,119092,50549,197047
Churchill,07/06/2017,29457,13593,247743
L'Assassinat de Jesse James par le lâche Robert Ford,17/10/2007,117110,78046,108750
2 Fast 2 Furious,25/06/2003,804821,383282,45319
Dinosaure,31/01/2001,33136,,27022
Australia,31/12/2008,747258,484801,124529
Le Temps d'un automne,28/01/2002,12177488,8790000,40910
Memories,31/08/2022,7287,3824,55367
Greta,19/06/2019,77019,12293,221254
En décalage,10/08/2022,4494,3205,286988
Jack et la mécanique du cœur,12/02/2014,195432,112209,134061
Neverland,02/03/2005,211042,128818,32458
Le Tour du monde en 80 jours,11/08/2021,163520,47608,274208
Jesus Revolution,27/02/2023,15802615,8470921,275831
The Invention of Lying,05/05/2010,7781,741,130873
Agathe Cléry,10/12/2008,450544,231765,122749
The Constant Gardener,04/01/2006,215237,147094,56739
"Lego Batman, Le Film",15/02/2017,346187,242255,232239
Haute couture,17/11/2021,92692,44220,278695
Malabar Princess,10/03/2004,365573,401718,50843
Renaissances,05/08/2015,233121,130519,221081
Teddy,07/07/2021,20269,3254,277071
Aucun ours,30/11/2022,28234,16318,306537
Camille,23/10/2019,22694,13406,268292
El Agua,08/03/2023,7432,3559,285786
La Beuze,12/02/2003,728928,450014,48388
Kill Bill: Volume 2,19/05/2004,202201,480922,53879
Une fiancée pas comme les autres,07/01/2009,5306,602,121462
Freddy - Les Griffes de la nuit,19/05/2010,292939,87292,133955
Compagnons,02/03/2022,54164,26859,285065
Men In Black III,30/05/2012,802879,433381,139622
Primaire,11/01/2017,80237,40578,244060
Sorry To Bother You,06/02/2019,14814,6699,256975
Tom à la ferme,23/04/2014,56681,31873,208989
Sam je suis Sam,08/05/2002,116859,8315581,28904
Le Lion et les trois brigands,22/03/2023,14023,9501,308777
Saw 6,11/11/2009,266042,127474,130154
Le Manoir,28/06/2017,104758,66786,252959
Thalasso,28/08/2019,36800,23234,269466
The Raid 2,30/07/2014,58142,24483,205295
Sorry We Missed You,30/10/2019,146366,120536,264872
Le Territoire des Loups,07/03/2012,176547,94801,177500
Lucky,04/03/2020,84891,31286,273450
Cleaner,21/05/2008,143131,61075,123254
Monster House,30/08/2006,212679,101636,61645
The Finest Hours,02/03/2016,53209,6044,221875
Seuls Two,02/07/2008,507398,267865,129240
jackass forever,07/02/2022,23500000,8050298,279904
Saw 3D,17/11/2010,337425,142304,170148
Trois enterrements,30/11/2005,201751,140637,57695
Hellphone,04/04/2007,172357,71120,111102
Je préfère qu'on reste amis...,02/03/2005,200887,96359,55434
High Life,14/11/2018,18950,8837,238957
Bright Star,13/01/2010,110666,91755,111831
"Moi, moche et méchant",13/10/2010,624640,459388,140623
La Lutte des Classes,10/04/2019,150948,93655,261243
Annabelle 2 : la Création du Mal,16/08/2017,481309,260840,241900
À bras ouverts,12/04/2017,411403,284701,246797
Or Noir,30/11/2011,150639,48834,178179
"Les Trois frères, le retour",19/02/2014,1112863,611250,169812
Machete,08/12/2010,100994,50357,129815
Nos résistances,12/01/2011,1944,904,175612
Enfant 44,22/04/2015,66441,28753,211997
Jason Bourne : l'héritage,26/09/2012,485799,234138,134373
Twilight - Chapitre 4 : Révélation 1ère partie,23/11/2011,2018771,825348,146214
Sentinelle sud,04/05/2022,12440,5668,281765
L'Expérience interdite - Flatliners,29/11/2017,143410,84506,197082
Poltergeist,01/07/2015,177233,89100,132622
"Bruno Reidal, confession d'un meurtrier",30/03/2022,4760,3253,267961
Lux Aeterna,30/09/2020,15863,9087,273948
Hooligans,07/06/2006,73862,21267,54487
Mon beau-père et moi,31/01/2001,215409,91548,27777
American Pie 4,09/05/2012,829241,267475,188521
Stella est amoureuse,21/12/2022,16789,6199,287283
Les Hirondelles de Kaboul,11/09/2019,95918,61327,257862
L'Ile de Nim,16/04/2008,243392,176448,127737
Le Fils du Mask,30/03/2005,196506,67414,47333
Robuste,09/03/2022,17245,7353,281973
Sauvage,05/09/2018,20349,11095,264088
Burlesque,29/12/2010,65513,42087,48749
Le Marquis,16/03/2011,270222,171655,182276
Bienvenue à Monte-Carlo,31/08/2011,2151,349,130015
Les Vacances de Ducobu,02/05/2012,532593,266377,195874
Le Juge,29/10/2014,82344,32131,215680
Addicted,13/10/2014,7600000,,225060
Jexi,14/10/2019,3106730,,276057
Saw 2,04/01/2006,282270,190241,60199
Bodies Bodies Bodies,15/08/2022,3128760,2412208,263192
Disparue en hiver,28/01/2015,29265,12837,142917
Coast Guards,27/12/2006,79041,55296,56824
La Tour sombre,16/08/2017,193407,94226,146417
"La Romancière, le film et le heureux hasard",22/02/2023,8960,4787,300247
Mémoires de nos pères,01/11/2006,272149,132419,60580
Green Zone,21/04/2010,345040,174009,129054
Dheepan,02/09/2015,212472,145907,232070
Logan Lucky,01/11/2017,85199,37777,244869
Broken,29/08/2012,35178,25625,194006
Louxor,28/07/2021,3597,1364,280182
Non-Stop,05/03/2014,505678,253607,196467
La Mentale,30/10/2002,194738,,36285
"Love, Simon",04/07/2018,93548,33144,250073
A Ghost Story,27/12/2017,17230,17002,252406
Shorta,30/06/2021,4927,1207,288454
Out of Time,04/02/2004,117652,17000000,45644
La Nuit au musée : Le Secret des Pharaons,11/02/2015,501154,458834,218483
Tout le Monde Debout,21/03/2018,897452,465093,255532
La Terre des hommes,01/09/2021,32011,14026,269515
Rock Forever,18/07/2012,55252,9549,141538
Presque célèbre,28/03/2001,80831,,27440
Gomorra,20/08/2008,140876,104248,134985
Le Cercle - Rings,08/02/2017,235611,149014,172648
Même pas mal ! (Dodgeball),29/09/2004,171577,88665,52644
Hunter Killer,19/12/2018,50126,17444,190617
Burning Casablanca (Zanka Contact),10/11/2021,5444,673,285966
Astérix et les Vikings,19/04/2006,491328,337757,54220
Pig,03/11/2021,10015,3518,277524
Le Prodige,23/09/2015,42290,20853,178973
La Légende de Baahubali : 1ère Partie,15/06/2016,430,108,238311
"Atlantide, l'empire perdu",05/12/2001,1148273,727014,25756
"Everything, Everything",28/06/2017,129162,105678,249823
Coeurs ennemis,08/05/2019,52072,30049,249566
Die Hard 4 - retour en enfer,11/07/2007,1011566,392228,50575
Line of Fire,23/10/2017,6002665,3502095,229864
Elektra,16/03/2005,241007,128798,56029
La Colère des Titans,04/04/2012,363480,248917,181289
La Belle et la Bête,16/01/2012,22213922,8779676,7229
Samouraï Academy,19/10/2022,151216,152842,242476
Kung Fu Panda 2,22/06/2011,873345,434839,143048
Santa & Cie,13/12/2017,578133,339569,253125
Entre deux rives,02/08/2006,132903,80091,59315
Une Famille à Louer,26/08/2015,303670,182940,227102
Le Retour de la Momie,30/05/2001,756465,526546,27430
Effroyables jardins,02/04/2003,308054,242001,47066
Perdrix,21/08/2019,59482,29609,190322
Un Homme Pressé,14/11/2018,293291,176410,256594
American Assassin,27/09/2017,104402,90625,194970
Habemus Papam,14/09/2011,195066,154967,173469
Paterson,28/12/2016,100137,90125,228189
Seuls,15/02/2017,193449,103562,229867
Oppression,07/12/2016,56727,25777,236006
Le Ciel Attendra,12/10/2016,88848,60645,245618
Jurassic Park III,15/08/2001,900178,475116,29291
The Thing,19/10/2011,72905,28883,182645
Kursk,14/11/2018,78122,27592,244552
L'Italien,21/07/2010,358409,275152,146711
Harvey Milk,11/03/2009,235246,133966,130781
The Best Offer,23/04/2014,27928,14611,215942
Les Yeux jaunes des crocodiles,16/04/2014,232112,170070,177166
La Maleta,31/05/2023,16793,5924,297751
Night Run,18/03/2015,213970,188014,217705
Plus jamais,25/09/2002,114981,17500000,28999
Le Fils de Saul,11/11/2015,85022,46549,237178
Frankenweenie,07/11/2012,326230,160257,132661
Le Chocolat,14/03/2001,111151,81248,27052
La Véritable histoire du petit chaperon rouge,01/02/2006,240021,173667,58225
Snake Eyes,18/11/1998,442592,,19439
Passion Simple,18/08/2021,17414,8751,263555
Godzilla 2 - Roi des Monstres,05/06/2019,342574,180859,228997
Kubo et l'armure magique,28/09/2016,142109,110287,234291
20th Century Women,08/03/2017,35698,15419,234766
N.W.A - Straight Outta Compton,23/09/2015,219830,140451,197685
Belle-Fille,26/08/2020,141458,92217,267703
Les Randonneurs à Saint-Tropez,16/04/2008,233599,120402,110596
Cashback,24/01/2007,67614,31479,112209
La Bataille de Solférino,25/09/2013,17350,8796,220995
Boys,22/07/2015,2760,1324,227260
Traque à Boston,15/03/2017,37359,21508,236674
The Descendants,01/02/2012,286081,146151,171157
Traffic,14/03/2001,477351,330196,27443
AVP: Alien vs. Predator,03/11/2004,554037,188226,47002
Spy Kids,25/07/2001,153774,65110,29345
Paranoïa,18/07/2018,88704,65020,257612
I Feel Good,03/10/2018,204931,140108,257816
Bang Gang (Une Histoire D'Amour Moderne),20/01/2016,20116,6847,235571
La prophétie des grenouilles,10/12/2003,96519,104717,28677
Le Monde d'hier,06/04/2022,43740,19215,269097
40 ans : mode d'emploi,20/03/2013,125161,36680,189379
Le Labyrinthe du silence,06/05/2015,92635,60482,224215
Power Rangers,12/04/2017,262004,159533,228784
Mon Bébé,20/03/2019,361898,127030,262725
L'Histoire de ma femme,23/03/2022,21259,8324,262675
Taken 3,28/01/2015,1192842,588733,214007
Le Dernier chasseur de sorcières,04/11/2015,261102,149314,191904
L'Homme qui rit,02/01/2013,143987,63006,194176
Sils Maria,27/08/2014,90148,61067,220034
Pierre Lapin,11/04/2018,495488,377820,44792
Toutes nos envies,16/11/2011,170745,86685,173428
Le Rapport Auschwitz,03/08/2022,6658,2897,282293
Lulu femme nue,29/01/2014,129825,100567,220725
Sin City : j'ai tué pour elle,24/09/2014,185758,112399,61087
Méduse,02/11/2022,1847,159,268578
"Le Bon, la brute et le cinglé",24/12/2008,46974,22411,134066
Nos plus belles années,05/01/2022,21010,12337,283794
Destination finale 3,29/03/2006,405218,209524,57408
Bad Buzz,28/06/2017,41548,7775,250677
Ninja Turtles 2,06/07/2016,433446,176074,230822
Hostel - Chapitre II,18/07/2007,64374,45790,114997
Le Bruit des glaçons,01/09/2010,285810,149166,173056
Les Suffragettes,25/11/2015,58277,38910,222967
Bienvenue Parmi Nous,20/06/2012,100361,56129,195519
The Housewife,16/03/2022,10429,5514,297648
Copains pour toujours 2,18/09/2013,72381,22373,200730
Dédales,27/07/2022,8937,5207,291673
Zathura : une aventure spatiale,08/02/2006,101689,49216,46566
Cette musique ne joue pour personne,06/10/2021,51677,21548,269513
Zoolander,09/01/2002,102195,9800000,28967
Les 3 royaumes,01/04/2009,246290,117540,57890
La Sorcière et le martien,28/06/2023,45,8,312176
Dark Skies,03/07/2013,114775,39262,206920
Ma,12/06/2019,160898,75340,262400
Place Publique,25/04/2018,182458,193620,243534
X-Men l'affrontement final,31/05/2006,1548582,631250,52719
Le monde de Nathan,17/06/2015,28333,9014,194009
JSA (Joint Security Area),04/07/2018,4112,2566,35946
Trouble jeu,02/03/2005,181221,104008,52722
Adam,12/02/2020,36101,23054,273583
The Eternal Daughter,29/03/2023,17362,9039,289685
Le Secret des Perlims,25/01/2023,15551,5787,304461
Double Trahison,15/09/2014,24250283,9794188,204379
Le 15h17 pour Paris,14/02/2018,204845,122596,255721
Hitman & Bodyguard 2,07/07/2021,214788,8828,264612
Le renard et l'enfant,19/12/2007,466488,411189,109847
Mon idole,25/12/2002,190404,203713,42388
Des hommes et des dieux,15/09/2010,467950,480944,56826
"Sea, No Sex and Sun",16/05/2012,42245,23664,196577
In the Air,03/02/2010,339337,203232,138895
De l'eau pour les éléphants,11/05/2011,289166,203884,129955
Taken 2,10/10/2012,1231066,717111,144809
Le Grand soir,13/06/2012,185066,95235,195334
Destination finale 2,16/04/2003,333830,216021,43023
Les 4 Fantastiques,27/07/2005,952331,478207,42946
Curiosa,10/04/2019,10468,4268,260368
Jean-Philippe,12/04/2006,555280,368296,60628
Zarafa,15/02/2012,256052,304554,174018
Arthur et la vengeance de Maltazard,25/11/2009,24587,28379,125317
Cats,01/01/2020,40091,9580,247309
Sublime,24/05/2023,3463,1178,299552
Double zéro,23/06/2004,657839,692791,51602
The Foreigner,15/11/2017,79546,35506,238417
Comme Un Avion,17/06/2015,147598,81403,231739
La Nuit au musée 2,27/05/2009,638473,361587,130318
The Boy : la malédiction de Brahms,04/03/2020,95830,44254,268927
Fastlife,23/07/2014,194754,88460,222511
Si je reste,24/09/2014,54967,26618,217930
Exam,10/10/2012,826,320,176010
La Dernière maison sur la gauche,29/04/2009,54070,20794,129169
Une part d'ombre,29/05/2019,12048,6522,262688
Ma Loute,18/05/2016,181386,139752,233649
Die Hard : belle journée pour mourir,27/02/2013,830130,478149,181111
La Momie : la Tombe de l'Empereur Dragon,13/08/2008,695628,351498,119031
L'Âge de glace : La dérive des continents,04/07/2012,1767490,1397190,181059
Les Contes de Terremer,11/04/2007,86135,57026,109502
Le Chemin du pardon,06/03/2017,16172119,10007551,220986
Border,16/01/2019,33434,20559,264011
The Ryan Initiative,05/02/2014,258323,110604,193312
Chaos,10/10/2001,366179,234884,28175
La Montagne entre nous,15/11/2017,129306,73735,204833
Les Amours d’Anaïs,22/09/2021,28954,16677,280205
Blanche Neige,18/04/2012,310673,253698,185932
Les Veuves,05/12/2018,210256,119874,250578
Felicità,22/07/2020,13933,10012,279517
Hitman & Bodyguard,30/08/2017,237815,138662,211671
"Ensemble, c'est tout",28/03/2007,657191,515171,109636
C'est quoi cette famille?!,17/08/2016,193222,192398,241159
She's the Man,27/03/2006,7296562,4429426,119461
Les Jardins du Roi,13/05/2015,70538,42792,217719
The Great Debaters,31/12/2007,6005180,4250948,57931
Un monde,02/02/2022,15718,4776,292758
Sinister 2,26/08/2015,128072,76814,219286
Le Caire Confidentiel,12/07/2017,74528,61020,252157
Odette Toulemonde,14/02/2007,317479,209760,59831
La fille du 14 juillet,12/06/2013,13014,8448,220641
Disco,09/04/2008,1150993,647649,112170
"Varsovie 83, une affaire d'État",11/05/2022,13976,6156,284678
Présumé coupable,14/09/2011,154995,103829,177780
La Chute de Londres,09/03/2016,193923,86273,224988
Knight of Cups,02/12/2015,19152,8584,199057
Tropique de la violence,30/03/2022,4697,1021,287035
Sales Gosses,26/07/2017,212734,151747,247038
Trenque Lauquen - Partie 2,10/05/2023,1913,1690,306653
Hacker,25/03/2015,92018,38078,218770
Le Médecin imaginaire,04/05/2022,72100,40295,280917
Fourmiz,18/11/1998,421717,,19483
Tueurs,13/12/2017,29566,11820,254758
Colette,23/01/2019,75393,43254,244808
Le Cas 39,04/10/2010,5350000,2680305,111271
"Utøya, 22 Juillet",19/12/2018,3975,1261,262415
Les Traducteurs,05/02/2020,121867,74987,261613
Shoot'Em Up,26/09/2007,103787,48563,61320
À perdre la raison,29/08/2012,55339,42356,197187
RoboCop,12/02/2014,348763,182001,138376
The Fall,02/06/2008,345138,249967,111676
Je vous trouve très beau,18/01/2006,479294,463144,59132
Chouchou,26/03/2003,1003469,753304,47835
Cold War,31/10/2018,115723,71496,252203
Attaque à Mumbai,01/04/2019,3196209,,245048
Victoria,08/07/2015,37124,19900,228714
"Oslo, 31 août",07/03/2012,38412,28935,192866
Truands,24/01/2007,173561,95480,108871
Libre Garance !,28/09/2022,5754,1470,283584
La Pianiste,12/09/2001,251544,158629,28658
Les Croods 2 : une nouvelle ère,21/07/2021,288149,120040,220796
La Guerre est déclarée,31/08/2011,4391,209728,189699
Animals,22/02/2023,1351,2005,297404
Mary et la fleur de la sorcière,28/02/2018,109791,81038,252533
22 Miles,05/09/2018,119049,60145,235886
Horse Soldiers,07/02/2018,58961,15830,181056
Mal de Pierres,26/10/2016,283843,166215,221615
Une vie démente,17/11/2021,9306,4318,286025
Une vie entre deux océans,12/10/2016,49226,23804,223728
S.W.A.T. unité d'élite,10/12/2003,289712,146016,41239
Chemins croisés,22/07/2015,1109,13019686,219041
Woman at War,11/07/2018,44167,28960,257385
Un balcon sur la mer,22/12/2010,287247,196443,145167
Mourir à Ibiza (Un film en trois étés),14/12/2022,925,442,306208
Tempête de boulettes géantes,28/10/2009,203296,265191,133535
La femme au tableau,22/07/2015,101006,69877,227206
Lemming,18/05/2005,213232,112553,54145
The Walk – Rêver Plus Haut,04/11/2015,97261,30413,226673
Les Garçons sauvages,07/03/2018,17652,8426,246506
Jeune Femme,08/11/2017,47593,23851,244410
Abominable,30/10/2019,790413,584706,252234
Clifford,08/12/2021,163178,115310,230689
Unfriended: Dark Web,02/01/2019,103423,64275,263081
Les Schtroumpfs et le village perdu,12/04/2017,431955,417274,207486
L'Expérience,28/05/2003,46672,,27244
Happy Birthdead,22/11/2017,230654,140264,130104
Corporate,12/04/2017,82630,65684,244750
L'Ecole fantastique,01/08/2005,14631784,9005945,50152
Last Christmas,04/12/2019,133658,66736,265823
Les Enfants de la pluie,02/07/2003,111967,85490,45143
"Antartica, prisonniers du froid",03/05/2006,250169,139637,59351
Scooby-Doo 2 : les monstres se déchaînent,14/04/2004,465406,400937,46533
Crazy Rich Asians,14/11/2018,55935,23744,251258
Sortilège,13/07/2011,93524,50697,143368
Ice Road,11/08/2021,57091,17479,281467
47 Ronin,09/04/2014,154314,59400,141505
Eddie The Eagle,11/05/2016,51964,18979,234569
Ceux qui veulent ma mort,17/05/2021,2800000,870275,271330
Négociateur,18/11/1998,85976,,19403
Le Château de verre,04/10/2017,18785,2767,206619
La Cité de l'ombre,07/01/2009,13157,1343,129371
A bout portant,08/12/2010,302664,183596,177854
Le Vétéran,18/01/2021,3000000,2000000,274140
La Porte des secrets,10/08/2005,169890,108688,52315
American Honey,15/02/2017,25641,9165,228834
K-19 : le piège des profondeurs,25/09/2002,171779,81198,28522
La Crypte,18/01/2006,84559,38526,59129
Shrek le troisième,20/06/2007,1751471,1294115,55718
Chouf,12/10/2016,120259,70547,241450
Vidocq : Le masque et la plume,26/09/2001,853930,462739,29306
Vicky,15/06/2016,44527,17175,234402
Solaris,26/02/2003,200983,119595,43943
"Madea, grand-mère justicière",28/02/2005,21905089,11026195,59083
Pitch Perfect 2,29/07/2015,157564,79557,217029
Baby-sittor,15/06/2005,272617,119595,55106
Star Trek Into Darkness,19/06/2013,433073,190151,145475
La Chapelle du Diable,21/07/2021,19511,2122,270162
Le Missionnaire,06/05/2009,130285,61020,125145
Megamind,22/12/2010,375221,348116,127741
Aurore,03/05/2017,154518,111449,245793
Et après,21/01/2009,161400,90576,127942
Ava,28/06/2017,36167,21663,254735
Joker,21/01/2015,196170,63928,203335
Les Climats,24/01/2007,34163,21970,109741
Le scaphandre et le papillon,30/05/2007,101785,70373,119032
Les Aventures de Spirou et Fantasio,28/02/2018,145435,64915,253053
The Pledge,03/10/2001,180329,123934,29167
L'Apollonide - souvenirs de la maison close,28/09/2011,64413,42294,191004
Confessions d'une accro du shopping,27/05/2009,207149,116218,130604
Souterrain,02/02/2022,286,57,286070
Hellboy,18/08/2004,337501,137546,45279
Expendables 2: unité spéciale,29/08/2012,935219,500906,186189
Medieval Pie : Territoires Vierges,30/07/2008,22406,,59641
"Mune, Le Gardien De La Lune",21/10/2015,128279,159949,227216
"Into the Woods, Promenons-nous dans les bois",28/01/2015,2314,115670,201517
Superman Returns,19/07/2006,640412,359917,47356
Fatima,13/10/2021,12767,6726,256312
L'Apprenti Sorcier,18/08/2010,738442,335358,51407
Il buco,11/05/2022,5839,2806,293098
Plan 75,08/06/2022,162,14494,291774
Les Apparences,30/09/2020,143620,85992,273261
Bienvenue à Marwen,09/01/2019,81779,25038,224929
Les Enfants de la mer,17/07/2019,24250,14373,272441
Le Manège enchanté,09/02/2005,189760,200563,48273
Le Baiser mortel du dragon,08/08/2001,505980,243701,28561
Sans Sarah rien ne va !,25/06/2008,49335,27905,126907
Foxcatcher,28/01/2015,80741,41609,197897
Unfriended,01/07/2015,141546,75502,230452
You're Next,11/09/2013,65066,35630,192301
Hors du temps,02/12/2009,30935,3642,61578
Delta,11/03/2009,2020,415,135788
L'Entente cordiale,28/06/2006,102968,,59576
"Ave, César!",24/02/2016,368023,168252,225859
Steppin',23/05/2007,182247,80826,120619
Saint Laurent,01/10/2014,141138,94375,207652
Pris de court,05/04/2017,25112,8682,242131
Vipère Au Poing,13/10/2004,272078,234142,53934
Max,29/06/2015,12155254,6617389,225597
Nos âmes d'enfants,02/02/2022,20705,11040,277463
Elle l'adore,01/10/2014,204698,124409,221613
